year	abbr	total	democrat	republican
2008	SD	381975	170924	203054
2008	TN	2599749	1087437	1479178
2008	TX	8077795	3528633	4479328
2008	UT	952370	327670	596030
2008	VT	325046	219262	98974
2008	VA	3723260	1959532	1725005
2008	WA	3036878	1750848	1229216
2008	WV	713451	303857	397466
2008	WI	2983417	1677211	1262393
2008	WY	254904	82868	164958
2012	AL	2074338	795696	1255925
2012	AK	300495	122640	164676
2012	AZ	2299254	1025232	1233654
2012	AR	1069468	394409	647744
2012	CA	13038547	7854285	4839958
2012	CO	2569516	1323101	1185243
2012	CT	1558204	905083	634892
2012	DE	413890	242584	165484
2012	DC	293764	267070	21381
2012	FL	8474179	4237756	4163447
2012	GA	3897839	1773827	2078688
2012	HI	437159	306658	121015
2012	ID	652274	212787	420911
2012	IL	5242014	3019512	2135216
2012	IN	2624534	1152887	1420543
2012	IA	1582180	822544	730617
2012	KS	1159971	440726	692634
2012	KY	1797212	679370	1087190
2012	LA	1994065	809141	1152262
2012	ME	724758	401306	292276
2012	MD	2707327	1677844	971869
2012	MA	3184196	1921290	1188314
2012	MI	4730961	2564569	2115256
2012	MN	2936561	1546167	1320225
2012	MS	1285584	562949	710746
2012	MO	2757323	1223796	1482440
2012	MT	484048	201839	267928
2012	NE	794379	302081	475064
2012	NV	1014918	531373	463567
2012	NH	710972	369561	329918
2012	NJ	3638499	2122786	1478088
2012	NM	783758	415335	335788
2012	NY	7116784	4324228	2223397
2012	NC	4505372	2178391	2270395
2012	ND	322932	124966	188320
2012	OH	5580822	2827621	2661407
2012	OK	1334872	443547	891325
2012	OR	1789270	970488	754175
2012	PA	5742040	2990274	2680434
2012	RI	446049	279677	157204
2012	SC	1964118	865941	1071645
2012	SD	363815	145039	210610
2012	TN	2458577	960709	1462330
2012	TX	7993851	3308124	4569843
2012	UT	1017440	251813	740600
2012	VT	299290	199239	92698
2012	VA	3854489	1971820	1822522
2012	WA	3125516	1755396	1290670
2012	WV	670438	238269	417655
2012	WI	3071434	1620985	1410966
2012	WY	250701	69286	170962
2016	AL	2123372	729547	1318255
2016	AK	318608	116454	163387
2016	AZ	2573165	1161167	1252401
2016	AR	1130635	380494	684872
2016	CA	14181595	8753788	4483810
2016	CO	2780220	1338870	1202484
2016	CT	1644920	897572	673215
2016	DE	441590	235603	185127
2016	DC	312575	282830	12723
2016	FL	9420039	4504975	4617886
2016	GA	4114732	1877963	2089104
2016	HI	437664	266891	128847
2016	ID	690255	189765	409055
2016	IL	5536424	3090729	2146015
2016	IN	2734958	1033126	1557286
2016	IA	1565580	653669	800983
2016	KS	1184402	427005	671018
2016	KY	1924149	628854	1202971
2016	LA	2029032	780154	1178638
2016	ME	771892	357735	335593
2016	MD	2781446	1677928	943169
2016	MA	3378821	1995196	1090893
2016	MI	4799284	2268839	2279543
2016	MN	2944782	1367705	1322949
2016	MS	1209357	485131	700714
2016	MO	2808605	1071068	1594511
2016	MT	494526	177709	279240
2016	NE	844227	284494	495961
2016	NV	1125385	539260	512058
2016	NH	744296	348526	345790
2016	NJ	3874046	2148278	1601933
2016	NM	798319	385234	319667
2016	NY	7802084	4379789	2527142
2016	NC	4741564	2189316	2362631
2016	ND	344360	93758	216794
2016	OH	5496487	2394164	2841005
2016	OK	1452992	420375	949136
2016	OR	2001336	1002106	782403
2016	PA	6115402	2926441	2970733
2016	RI	464144	252525	180543
2016	SC	2103027	855373	1155389
2016	SD	370093	117458	227721
2016	TN	2508027	870695	1522925
2016	TX	8969226	3877868	4685047
2016	UT	1131317	310674	515211
2016	VT	320467	178573	95369
2016	VA	3982752	1981473	1769443
2016	WA	3317019	1742718	1221747
2016	WV	713051	188794	489371
2016	WI	2976150	1382536	1405284
2016	WY	258788	55973	174419
2020	AL	2323282	849624	1441170
2020	AK	359530	153778	189951
2020	AZ	3387326	1672143	1661686
2020	AR	1219069	423932	760647
2020	CA	17500881	11110250	6006429
2020	CO	3279980	1804352	1364607
2020	CT	1823857	1080831	714717
2020	DE	504346	296268	200603
2020	DC	344356	317323	18586
2020	FL	11067456	5297045	5668731
2020	GA	4999960	2473633	2461854
2020	HI	579784	366130	196864
2020	ID	868014	287021	554119
2020	IL	6033743	3471915	2446891
2020	IN	3033118	1242416	1729519
2020	IA	1700130	759061	897672
2020	KS	1372303	570323	771406
2020	KY	2136768	772474	1326646
2020	LA	2148062	856034	1255776
2020	ME	828305	435072	360737
2020	MD	3037030	1985023	976414
2020	MA	3658005	2382202	1167202
2020	MI	5539302	2804040	2649852
2020	MN	3277171	1717077	1484065
2020	MS	1313759	539398	756764
2020	MO	3025962	1253014	1718736
2020	MT	603674	244786	343602
2020	NE	956383	374583	556846
2020	NV	1405376	703486	669890
2020	NH	806182	424921	365654
2020	NJ	4549353	2608335	1883274
2020	NM	923965	501614	401894
2020	NY	8661735	5230985	3244798
2020	NC	5524802	2684292	2758773
2020	ND	361819	114902	235595
2020	OH	5922202	2679165	3154834
2020	OK	1560699	503890	1020280
2020	OR	2374321	1340383	958448
2020	PA	6915283	3458229	3377674
2020	RI	516990	307486	199922
2020	SC	2514096	1091541	1385103
2020	SD	422609	150471	261043
2020	TN	3053851	1143711	1852475
2020	TX	11315056	5259126	5890347
2020	UT	1488289	560282	865140
2020	VT	370968	242820	112704
2020	VA	4460524	2413568	1962430
2020	WA	4087631	2369612	1584651
2020	WV	794652	235984	545382
2020	WI	3298041	1630866	1610184
2020	WY	278503	73491	193559
